=== 実験 005: システム同定用 multi-sine 励振信号 ===
モーター: AK45-36 (ID: 1)
基準周波数: 4.0 Hz, 基準振幅: 1.5 Nm (瞬時最大: 2.850 Nm)
記録時間: 10.0 秒, サンプリング周期: 0.001 秒 (1000 Hz)
安全上限: 位置=3.14 rad, 速度=6.0 rad/s, トルク=10.0 Nm
ログ保存先: /home/pi/Research/y25m060_20260212/TMotorCANControl/my_ak45/Mujoco/data/raw/exp005_sysid_excitation_1786554555
==================================================
デバイスを初期化: AK45-36  ID: 1
Initializing CAN Manager
Connected on: socketcan channel 'can0'
デバイス制御を開始: AK45-36  ID: 1
位置ゼロ化を実行中...
ゼロ化完了
励振開始...
経過時間: 0.00 秒 | 指令トルク: 0.198 Nm | 実測トルク: -0.014 Nm | 位置: 0.052 rad | 速度: 0.004 rad/s
経過時間: 0.10 秒 | 指令トルク: 1.463 Nm | 実測トルク: 0.244 Nm | 位置: 0.307 rad | 速度: 4.951 rad/s
経過時間: 0.20 秒 | 指令トルク: -2.451 Nm | 実測トルク: -2.116 Nm | 位置: 0.614 rad | 速度: -1.033 rad/s
経過時間: 0.30 秒 | 指令トルク: 1.692 Nm | 実測トルク: 0.844 Nm | 位置: 0.302 rad | 速度: -1.528 rad/s
経過時間: 0.40 秒 | 指令トルク: -0.981 Nm | 実測トルク: -0.558 Nm | 位置: 0.625 rad | 速度: 4.503 rad/s
経過時間: 0.50 秒 | 指令トルク: -1.190 Nm | 実測トルク: -1.102 Nm | 位置: 0.546 rad | 速度: -4.060 rad/s
経過時間: 0.60 秒 | 指令トルク: 1.212 Nm | 実測トルク: 0.982 Nm | 位置: 0.479 rad | 速度: 3.383 rad/s
経過時間: 0.70 秒 | 指令トルク: -2.050 Nm | 実測トルク: -1.379 Nm | 位置: 0.751 rad | 速度: -0.640 rad/s
経過時間: 0.80 秒 | 指令トルク: 0.441 Nm | 実測トルク: 0.189 Nm | 位置: 0.437 rad | 速度: -1.344 rad/s
経過時間: 0.90 秒 | 指令トルク: -0.401 Nm | 実測トルク: 0.014 Nm | 位置: 0.723 rad | 速度: 3.755 rad/s
経過時間: 1.00 秒 | 指令トルク: -0.873 Nm | 実測トルク: -0.438 Nm | 位置: 0.623 rad | 速度: -3.219 rad/s
経過時間: 1.10 秒 | 指令トルク: 0.464 Nm | 実測トルク: 0.521 Nm | 位置: 0.562 rad | 速度: 3.374 rad/s
経過時間: 1.20 秒 | 指令トルク: -0.765 Nm | 実測トルク: -0.383 Nm | 位置: 0.817 rad | 速度: -1.033 rad/s
経過時間: 1.30 秒 | 指令トルク: 0.576 Nm | 実測トルク: 0.788 Nm | 位置: 0.527 rad | 速度: -0.327 rad/s
経過時間: 1.40 秒 | 指令トルク: -0.525 Nm | 実測トルク: -0.327 Nm | 位置: 0.810 rad | 速度: 3.119 rad/s
経過時間: 1.50 秒 | 指令トルク: 0.706 Nm | 実測トルク: 0.807 Nm | 位置: 0.685 rad | 速度: -3.805 rad/s
経過時間: 1.60 秒 | 指令トルク: 0.258 Nm | 実測トルク: 0.438 Nm | 位置: 0.625 rad | 速度: 3.960 rad/s
経過時間: 1.70 秒 | 指令トルク: -0.382 Nm | 実測トルク: -0.549 Nm | 位置: 0.871 rad | 速度: -2.226 rad/s
経過時間: 1.80 秒 | 指令トルク: 1.905 Nm | 実測トルク: 1.710 Nm | 位置: 0.551 rad | 速度: -0.347 rad/s
経過時間: 1.90 秒 | 指令トルク: -1.182 Nm | 実測トルク: -0.982 Nm | 位置: 0.835 rad | 速度: 3.096 rad/s
経過時間: 2.00 秒 | 指令トルク: 1.351 Nm | 実測トルク: 0.032 Nm | 位置: 0.691 rad | 速度: -4.705 rad/s
経過時間: 2.10 秒 | 指令トルク: 0.878 Nm | 実測トルク: 0.835 Nm | 位置: 0.601 rad | 速度: 4.365 rad/s
経過時間: 2.20 秒 | 指令トルク: -1.437 Nm | 実測トルク: -1.655 Nm | 位置: 0.852 rad | 速度: -2.401 rad/s
経過時間: 2.30 秒 | 指令トルク: 2.581 Nm | 実測トルク: 1.793 Nm | 位置: 0.492 rad | 速度: -1.399 rad/s
経過時間: 2.40 秒 | 指令トルク: -1.462 Nm | 実測トルク: -1.176 Nm | 位置: 0.779 rad | 速度: 4.013 rad/s
経過時間: 2.50 秒 | 指令トルク: 0.162 Nm | 実測トルク: -0.134 Nm | 位置: 0.653 rad | 速度: -4.678 rad/s
経過時間: 2.60 秒 | 指令トルク: 1.464 Nm | 実測トルク: 1.213 Nm | 位置: 0.567 rad | 速度: 3.908 rad/s
経過時間: 2.70 秒 | 指令トルク: -2.466 Nm | 実測トルク: -2.144 Nm | 位置: 0.841 rad | 速度: -1.373 rad/s
経過時間: 2.80 秒 | 指令トルク: 1.666 Nm | 実測トルク: 0.917 Nm | 位置: 0.488 rad | 速度: -2.059 rad/s
経過時間: 2.90 秒 | 指令トルク: -0.972 Nm | 実測トルク: -0.512 Nm | 位置: 0.768 rad | 速度: 4.221 rad/s
経過時間: 3.00 秒 | 指令トルク: -1.209 Nm | 実測トルク: -1.028 Nm | 位置: 0.651 rad | 速度: -4.256 rad/s
経過時間: 3.10 秒 | 指令トルク: 1.208 Nm | 実測トルク: 1.000 Nm | 位置: 0.549 rad | 速度: 2.985 rad/s
経過時間: 3.20 秒 | 指令トルク: -2.038 Nm | 実測トルク: -1.351 Nm | 位置: 0.794 rad | 速度: -0.810 rad/s
