=== 実験 005: システム同定用 multi-sine 励振信号 ===
モーター: AK45-36 (ID: 1)
基準周波数: 4.0 Hz, 基準振幅: 1.5 Nm (瞬時最大: 2.850 Nm)
記録時間: 10.0 秒, サンプリング周期: 0.001 秒 (1000 Hz)
安全上限: 位置=3.14 rad, 速度=6.0 rad/s, トルク=10.0 Nm
ログ保存先: /home/pi/Research/y25m060_20260212/TMotorCANControl/my_ak45/Mujoco/data/raw/exp005_sysid_excitation_1786554734
==================================================
デバイスを初期化: AK45-36  ID: 1
Initializing CAN Manager
Connected on: socketcan channel 'can0'
デバイス制御を開始: AK45-36  ID: 1
  AK45-36  ID: 1: 接続確認1回目失敗、再試行します...
位置ゼロ化を実行中...
ゼロ化完了
励振開始...
経過時間: 0.00 秒 | 指令トルク: 0.198 Nm | 実測トルク: 0.005 Nm | 位置: 0.002 rad | 速度: 0.004 rad/s
経過時間: 0.10 秒 | 指令トルク: 1.463 Nm | 実測トルク: 0.124 Nm | 位置: 0.315 rad | 速度: 5.100 rad/s
経過時間: 0.20 秒 | 指令トルク: -2.451 Nm | 実測トルク: -2.172 Nm | 位置: 0.624 rad | 速度: -0.968 rad/s
経過時間: 0.30 秒 | 指令トルク: 1.692 Nm | 実測トルク: 0.973 Nm | 位置: 0.316 rad | 速度: -1.584 rad/s
経過時間: 0.40 秒 | 指令トルク: -0.981 Nm | 実測トルク: -0.429 Nm | 位置: 0.643 rad | 速度: 4.570 rad/s
経過時間: 0.50 秒 | 指令トルク: -1.190 Nm | 実測トルク: -1.277 Nm | 位置: 0.577 rad | 速度: -3.793 rad/s
経過時間: 0.60 秒 | 指令トルク: 1.212 Nm | 実測トルク: 1.047 Nm | 位置: 0.519 rad | 速度: 3.336 rad/s
経過時間: 0.70 秒 | 指令トルク: -2.050 Nm | 実測トルク: -1.369 Nm | 位置: 0.794 rad | 速度: -0.611 rad/s
経過時間: 0.80 秒 | 指令トルク: 0.441 Nm | 実測トルク: 0.290 Nm | 位置: 0.479 rad | 速度: -1.373 rad/s
経過時間: 0.90 秒 | 指令トルク: -0.401 Nm | 実測トルク: -0.032 Nm | 位置: 0.767 rad | 速度: 3.676 rad/s
経過時間: 1.00 秒 | 指令トルク: -0.873 Nm | 実測トルク: -0.383 Nm | 位置: 0.674 rad | 速度: -3.360 rad/s
経過時間: 1.10 秒 | 指令トルク: 0.464 Nm | 実測トルク: 0.558 Nm | 位置: 0.615 rad | 速度: 3.430 rad/s
経過時間: 1.20 秒 | 指令トルク: -0.765 Nm | 実測トルク: -0.346 Nm | 位置: 0.867 rad | 速度: -1.089 rad/s
経過時間: 1.30 秒 | 指令トルク: 0.576 Nm | 実測トルク: 0.788 Nm | 位置: 0.572 rad | 速度: -0.347 rad/s
経過時間: 1.40 秒 | 指令トルク: -0.525 Nm | 実測トルク: -0.355 Nm | 位置: 0.846 rad | 速度: 2.812 rad/s
経過時間: 1.50 秒 | 指令トルク: 0.706 Nm | 実測トルク: 0.770 Nm | 位置: 0.708 rad | 速度: -4.042 rad/s
経過時間: 1.60 秒 | 指令トルク: 0.258 Nm | 実測トルク: 0.512 Nm | 位置: 0.632 rad | 速度: 3.747 rad/s
経過時間: 1.70 秒 | 指令トルク: -0.382 Nm | 実測トルク: -0.512 Nm | 位置: 0.860 rad | 速度: -2.469 rad/s
経過時間: 1.80 秒 | 指令トルク: 1.905 Nm | 実測トルク: 1.729 Nm | 位置: 0.521 rad | 速度: -0.675 rad/s
経過時間: 1.90 秒 | 指令トルク: -1.182 Nm | 実測トルク: -1.010 Nm | 位置: 0.791 rad | 速度: 3.052 rad/s
経過時間: 2.00 秒 | 指令トルク: 1.351 Nm | 実測トルク: -0.078 Nm | 位置: 0.636 rad | 速度: -5.024 rad/s
経過時間: 2.10 秒 | 指令トルク: 0.878 Nm | 実測トルク: 0.908 Nm | 位置: 0.543 rad | 速度: 4.251 rad/s
経過時間: 2.20 秒 | 指令トルク: -1.437 Nm | 実測トルク: -1.637 Nm | 位置: 0.793 rad | 速度: -2.478 rad/s
経過時間: 2.30 秒 | 指令トルク: 2.581 Nm | 実測トルク: 1.840 Nm | 位置: 0.442 rad | 速度: -1.355 rad/s
経過時間: 2.40 秒 | 指令トルク: -1.462 Nm | 実測トルク: -1.166 Nm | 位置: 0.736 rad | 速度: 3.925 rad/s
経過時間: 2.50 秒 | 指令トルク: 0.162 Nm | 実測トルク: -0.309 Nm | 位置: 0.609 rad | 速度: -4.743 rad/s
経過時間: 2.60 秒 | 指令トルク: 1.464 Nm | 実測トルク: 1.240 Nm | 位置: 0.518 rad | 速度: 3.905 rad/s
経過時間: 2.70 秒 | 指令トルク: -2.466 Nm | 実測トルク: -2.153 Nm | 位置: 0.788 rad | 速度: -1.294 rad/s
経過時間: 2.80 秒 | 指令トルク: 1.666 Nm | 実測トルク: 0.917 Nm | 位置: 0.438 rad | 速度: -2.006 rad/s
経過時間: 2.90 秒 | 指令トルク: -0.972 Nm | 実測トルク: -0.530 Nm | 位置: 0.721 rad | 速度: 4.253 rad/s
経過時間: 3.00 秒 | 指令トルク: -1.209 Nm | 実測トルク: -1.130 Nm | 位置: 0.610 rad | 速度: -4.526 rad/s
経過時間: 3.10 秒 | 指令トルク: 1.208 Nm | 実測トルク: 0.991 Nm | 位置: 0.513 rad | 速度: 2.979 rad/s
経過時間: 3.20 秒 | 指令トルク: -2.038 Nm | 実測トルク: -1.397 Nm | 位置: 0.772 rad | 速度: -0.667 rad/s
経過時間: 3.30 秒 | 指令トルク: 0.433 Nm | 実測トルク: 0.300 Nm | 位置: 0.448 rad | 速度: -1.481 rad/s
経過時間: 3.40 秒 | 指令トルク: -0.388 Nm | 実測トルク: -0.051 Nm | 位置: 0.722 rad | 速度: 3.594 rad/s
経過時間: 3.50 秒 | 指令トルク: -0.859 Nm | 実測トルク: -0.420 Nm | 位置: 0.615 rad | 速度: -3.295 rad/s
経過時間: 3.60 秒 | 指令トルク: 0.469 Nm | 実測トルク: 0.586 Nm | 位置: 0.543 rad | 速度: 3.128 rad/s
経過時間: 3.70 秒 | 指令トルク: -0.745 Nm | 実測トルク: -0.318 Nm | 位置: 0.789 rad | 速度: -1.065 rad/s
経過時間: 3.80 秒 | 指令トルク: 0.594 Nm | 実測トルク: 0.798 Nm | 位置: 0.492 rad | 速度: -0.400 rad/s
経過時間: 3.90 秒 | 指令トルク: -0.518 Nm | 実測トルク: -0.318 Nm | 位置: 0.765 rad | 速度: 2.841 rad/s
経過時間: 4.00 秒 | 指令トルク: 0.725 Nm | 実測トルク: 0.835 Nm | 位置: 0.631 rad | 速度: -4.075 rad/s
経過時間: 4.10 秒 | 指令トルク: 0.273 Nm | 実測トルク: 0.438 Nm | 位置: 0.554 rad | 速度: 3.796 rad/s
経過時間: 4.20 秒 | 指令トルク: -0.385 Nm | 実測トルク: -0.539 Nm | 位置: 0.784 rad | 速度: -2.428 rad/s
経過時間: 4.30 秒 | 指令トルク: 1.922 Nm | 実測トルク: 1.701 Nm | 位置: 0.448 rad | 速度: -0.582 rad/s
経過時間: 4.40 秒 | 指令トルク: -1.184 Nm | 実測トルク: -1.074 Nm | 位置: 0.722 rad | 速度: 3.067 rad/s
経過時間: 4.50 秒 | 指令トルク: 1.338 Nm | 実測トルク: 0.115 Nm | 位置: 0.578 rad | 速度: -4.919 rad/s
経過時間: 4.60 秒 | 指令トルク: 0.890 Nm | 実測トルク: 0.908 Nm | 位置: 0.496 rad | 速度: 4.095 rad/s
経過時間: 4.70 秒 | 指令トルク: -1.461 Nm | 実測トルク: -1.637 Nm | 位置: 0.756 rad | 速度: -2.404 rad/s
経過時間: 4.80 秒 | 指令トルク: 2.570 Nm | 実測トルク: 1.803 Nm | 位置: 0.407 rad | 速度: -1.432 rad/s
経過時間: 4.90 秒 | 指令トルク: -1.462 Nm | 実測トルク: -1.148 Nm | 位置: 0.698 rad | 速度: 4.204 rad/s
経過時間: 5.00 秒 | 指令トルク: 0.126 Nm | 実測トルク: -0.226 Nm | 位置: 0.578 rad | 速度: -4.711 rad/s
経過時間: 5.10 秒 | 指令トルク: 1.464 Nm | 実測トルク: 1.185 Nm | 位置: 0.488 rad | 速度: 3.691 rad/s
経過時間: 5.20 秒 | 指令トルク: -2.481 Nm | 実測トルク: -2.153 Nm | 位置: 0.757 rad | 速度: -1.364 rad/s
経過時間: 5.30 秒 | 指令トルク: 1.640 Nm | 実測トルク: 0.881 Nm | 位置: 0.399 rad | 速度: -2.217 rad/s
経過時間: 5.40 秒 | 指令トルク: -0.963 Nm | 実測トルク: -0.447 Nm | 位置: 0.668 rad | 速度: 4.148 rad/s
経過時間: 5.50 秒 | 指令トルク: -1.228 Nm | 実測トルク: -0.954 Nm | 位置: 0.544 rad | 速度: -4.573 rad/s
経過時間: 5.60 秒 | 指令トルク: 1.204 Nm | 実測トルク: 1.037 Nm | 位置: 0.431 rad | 速度: 2.967 rad/s
経過時間: 5.70 秒 | 指令トルク: -2.026 Nm | 実測トルク: -1.342 Nm | 位置: 0.670 rad | 速度: -0.766 rad/s
経過時間: 5.80 秒 | 指令トルク: 0.425 Nm | 実測トルク: 0.281 Nm | 位置: 0.334 rad | 速度: -1.684 rad/s
経過時間: 5.90 秒 | 指令トルク: -0.374 Nm | 実測トルク: -0.005 Nm | 位置: 0.595 rad | 速度: 3.401 rad/s
経過時間: 6.00 秒 | 指令トルク: -0.843 Nm | 実測トルク: -0.373 Nm | 位置: 0.475 rad | 速度: -3.547 rad/s
経過時間: 6.10 秒 | 指令トルク: 0.474 Nm | 実測トルク: 0.521 Nm | 位置: 0.385 rad | 速度: 3.081 rad/s
経過時間: 6.20 秒 | 指令トルク: -0.726 Nm | 実測トルク: -0.346 Nm | 位置: 0.617 rad | 速度: -1.229 rad/s
経過時間: 6.30 秒 | 指令トルク: 0.613 Nm | 実測トルク: 0.853 Nm | 位置: 0.304 rad | 速度: -0.640 rad/s
経過時間: 6.40 秒 | 指令トルク: -0.511 Nm | 実測トルク: -0.272 Nm | 位置: 0.580 rad | 速度: 3.067 rad/s
経過時間: 6.50 秒 | 指令トルク: 0.743 Nm | 実測トルク: 0.761 Nm | 位置: 0.455 rad | 速度: -3.893 rad/s
経過時間: 6.60 秒 | 指令トルク: 0.288 Nm | 実測トルク: 0.484 Nm | 位置: 0.387 rad | 速度: 3.908 rad/s
経過時間: 6.70 秒 | 指令トルク: -0.389 Nm | 実測トルク: -0.484 Nm | 位置: 0.632 rad | 速度: -2.100 rad/s
経過時間: 6.80 秒 | 指令トルク: 1.939 Nm | 実測トルク: 1.701 Nm | 位置: 0.311 rad | 速度: -0.508 rad/s
経過時間: 6.90 秒 | 指令トルク: -1.186 Nm | 実測トルク: -1.019 Nm | 位置: 0.592 rad | 速度: 3.292 rad/s
経過時間: 7.00 秒 | 指令トルク: 1.324 Nm | 実測トルク: 0.014 Nm | 位置: 0.456 rad | 速度: -4.769 rad/s
経過時間: 7.10 秒 | 指令トルク: 0.901 Nm | 実測トルク: 0.917 Nm | 位置: 0.373 rad | 速度: 4.183 rad/s
経過時間: 7.20 秒 | 指令トルク: -1.486 Nm | 実測トルク: -1.674 Nm | 位置: 0.635 rad | 速度: -2.355 rad/s
経過時間: 7.30 秒 | 指令トルク: 2.559 Nm | 実測トルク: 1.729 Nm | 位置: 0.287 rad | 速度: -1.341 rad/s
経過時間: 7.40 秒 | 指令トルク: -1.462 Nm | 実測トルク: -1.194 Nm | 位置: 0.585 rad | 速度: 4.289 rad/s
経過時間: 7.50 秒 | 指令トルク: 0.090 Nm | 実測トルク: -0.383 Nm | 位置: 0.476 rad | 速度: -4.925 rad/s
経過時間: 7.60 秒 | 指令トルク: 1.464 Nm | 実測トルク: 1.213 Nm | 位置: 0.396 rad | 速度: 3.823 rad/s
経過時間: 7.70 秒 | 指令トルク: -2.495 Nm | 実測トルク: -2.135 Nm | 位置: 0.678 rad | 速度: -1.256 rad/s
経過時間: 7.80 秒 | 指令トルク: 1.614 Nm | 実測トルク: 0.917 Nm | 位置: 0.328 rad | 速度: -1.974 rad/s
経過時間: 7.90 秒 | 指令トルク: -0.954 Nm | 実測トルク: -0.530 Nm | 位置: 0.609 rad | 速度: 4.007 rad/s
経過時間: 8.00 秒 | 指令トルク: -1.245 Nm | 実測トルク: -1.111 Nm | 位置: 0.501 rad | 速度: -4.280 rad/s
経過時間: 8.10 秒 | 指令トルク: 1.200 Nm | 実測トルク: 1.010 Nm | 位置: 0.395 rad | 速度: 2.864 rad/s
経過時間: 8.20 秒 | 指令トルク: -2.013 Nm | 実測トルク: -1.323 Nm | 位置: 0.640 rad | 速度: -0.693 rad/s
経過時間: 8.30 秒 | 指令トルク: 0.418 Nm | 実測トルク: 0.263 Nm | 位置: 0.308 rad | 速度: -1.651 rad/s
経過時間: 8.40 秒 | 指令トルク: -0.361 Nm | 実測トルク: 0.014 Nm | 位置: 0.567 rad | 速度: 3.474 rad/s
経過時間: 8.50 秒 | 指令トルク: -0.828 Nm | 実測トルク: -0.364 Nm | 位置: 0.447 rad | 速度: -3.459 rad/s
経過時間: 8.60 秒 | 指令トルク: 0.480 Nm | 実測トルク: 0.549 Nm | 位置: 0.360 rad | 速度: 2.985 rad/s
経過時間: 8.70 秒 | 指令トルク: -0.707 Nm | 実測トルク: -0.290 Nm | 位置: 0.595 rad | 速度: -1.311 rad/s
経過時間: 8.80 秒 | 指令トルク: 0.631 Nm | 実測トルク: 0.807 Nm | 位置: 0.281 rad | 速度: -0.573 rad/s
経過時間: 8.90 秒 | 指令トルク: -0.505 Nm | 実測トルク: -0.327 Nm | 位置: 0.555 rad | 速度: 2.955 rad/s
経過時間: 9.00 秒 | 指令トルク: 0.761 Nm | 実測トルク: 0.816 Nm | 位置: 0.432 rad | 速度: -3.975 rad/s
経過時間: 9.10 秒 | 指令トルク: 0.303 Nm | 実測トルク: 0.475 Nm | 位置: 0.364 rad | 速度: 4.001 rad/s
経過時間: 9.20 秒 | 指令トルク: -0.394 Nm | 実測トルク: -0.493 Nm | 位置: 0.606 rad | 速度: -2.246 rad/s
経過時間: 9.30 秒 | 指令トルク: 1.954 Nm | 実測トルク: 1.710 Nm | 位置: 0.280 rad | 速度: -0.549 rad/s
経過時間: 9.40 秒 | 指令トルク: -1.188 Nm | 実測トルク: -1.074 Nm | 位置: 0.562 rad | 速度: 3.137 rad/s
経過時間: 9.50 秒 | 指令トルク: 1.310 Nm | 実測トルク: -0.088 Nm | 位置: 0.426 rad | 速度: -5.077 rad/s
経過時間: 9.60 秒 | 指令トルク: 0.912 Nm | 実測トルク: 0.862 Nm | 位置: 0.338 rad | 速度: 3.981 rad/s
経過時間: 9.70 秒 | 指令トルク: -1.511 Nm | 実測トルク: -1.692 Nm | 位置: 0.594 rad | 速度: -2.442 rad/s
経過時間: 9.80 秒 | 指令トルク: 2.547 Nm | 実測トルク: 1.572 Nm | 位置: 0.237 rad | 速度: -1.886 rad/s
経過時間: 9.90 秒 | 指令トルク: -1.463 Nm | 実測トルク: -1.157 Nm | 位置: 0.520 rad | 速度: 4.066 rad/s
経過時間: 10.00 秒 | 指令トルク: 0.055 Nm | 実測トルク: -0.364 Nm | 位置: 0.400 rad | 速度: -4.939 rad/s
実行時間: 10.00 秒
サンプル数: 実測 10000 / 期待値 10000
デバイス制御を終了: AK45-36  ID: 1
ログ保存完了: /home/pi/Research/y25m060_20260212/TMotorCANControl/my_ak45/Mujoco/data/raw/exp005_sysid_excitation_1786554734
実験 005 完了
