=== 実験 005: システム同定用 multi-sine 励振信号 ===
モーター: AK45-36 (ID: 1)
基準周波数: 4.0 Hz, 基準振幅: 0.9 Nm (瞬時最大: 1.710 Nm)
記録時間: 10.0 秒, サンプリング周期: 0.001 秒 (1000 Hz)
安全上限: 位置=3.14 rad, 速度=6.0 rad/s, トルク=10.0 Nm
ログ保存先: /home/pi/Research/y25m060_20260212/TMotorCANControl/my_ak45/Mujoco/data/raw/exp005_sysid_excitation_1786560014
==================================================
デバイスを初期化: AK45-36  ID: 1
Initializing CAN Manager
Connected on: socketcan channel 'can0'
デバイス制御を開始: AK45-36  ID: 1
位置ゼロ化を実行中...
ゼロ化完了
励振開始...
経過時間: 0.00 秒 | 指令トルク: 0.119 Nm | 実測トルク: -0.014 Nm | 位置: 0.317 rad | 速度: -0.037 rad/s
経過時間: 0.10 秒 | 指令トルク: 0.878 Nm | 実測トルク: 0.678 Nm | 位置: 0.195 rad | 速度: 4.139 rad/s
経過時間: 0.20 秒 | 指令トルク: -1.471 Nm | 実測トルク: -1.249 Nm | 位置: 0.516 rad | 速度: 0.309 rad/s
経過時間: 0.30 秒 | 指令トルク: 1.015 Nm | 実測トルク: 0.650 Nm | 位置: 0.432 rad | 速度: 0.215 rad/s
経過時間: 0.40 秒 | 指令トルク: -0.588 Nm | 実測トルク: -0.337 Nm | 位置: 0.699 rad | 速度: 3.187 rad/s
経過時間: 0.50 秒 | 指令トルク: -0.714 Nm | 実測トルク: -0.715 Nm | 位置: 0.676 rad | 速度: -2.158 rad/s
経過時間: 0.60 秒 | 指令トルク: 0.727 Nm | 実測トルク: 0.613 Nm | 位置: 0.682 rad | 速度: 2.393 rad/s
経過時間: 0.70 秒 | 指令トルク: -1.230 Nm | 実測トルク: -0.844 Nm | 位置: 0.853 rad | 速度: -0.491 rad/s
経過時間: 0.80 秒 | 指令トルク: 0.265 Nm | 実測トルク: 0.161 Nm | 位置: 0.678 rad | 速度: -0.423 rad/s
経過時間: 0.90 秒 | 指令トルク: -0.241 Nm | 実測トルク: -0.051 Nm | 位置: 0.866 rad | 速度: 2.044 rad/s
経過時間: 1.00 秒 | 指令トルク: -0.524 Nm | 実測トルク: -0.309 Nm | 位置: 0.788 rad | 速度: -2.129 rad/s
経過時間: 1.10 秒 | 指令トルク: 0.279 Nm | 実測トルク: 0.410 Nm | 位置: 0.759 rad | 速度: 1.944 rad/s
経過時間: 1.20 秒 | 指令トルク: -0.459 Nm | 実測トルク: -0.226 Nm | 位置: 0.890 rad | 速度: -0.907 rad/s
経過時間: 1.30 秒 | 指令トルク: 0.346 Nm | 実測トルク: 0.410 Nm | 位置: 0.707 rad | 速度: 0.022 rad/s
経過時間: 1.40 秒 | 指令トルク: -0.315 Nm | 実測トルク: -0.143 Nm | 位置: 0.877 rad | 速度: 1.396 rad/s
経過時間: 1.50 秒 | 指令トルク: 0.424 Nm | 実測トルク: 0.420 Nm | 位置: 0.766 rad | 速度: -2.460 rad/s
経過時間: 1.60 秒 | 指令トルク: 0.155 Nm | 実測トルク: 0.300 Nm | 位置: 0.734 rad | 速度: 2.305 rad/s
経過時間: 1.70 秒 | 指令トルク: -0.229 Nm | 実測トルク: -0.300 Nm | 位置: 0.858 rad | 速度: -1.625 rad/s
経過時間: 1.80 秒 | 指令トルク: 1.143 Nm | 実測トルク: 1.019 Nm | 位置: 0.655 rad | 速度: 0.013 rad/s
経過時間: 1.90 秒 | 指令トルク: -0.709 Nm | 実測トルク: -0.595 Nm | 位置: 0.831 rad | 速度: 1.566 rad/s
経過時間: 2.00 秒 | 指令トルク: 0.810 Nm | 実測トルク: 0.447 Nm | 位置: 0.729 rad | 速度: -2.944 rad/s
経過時間: 2.10 秒 | 指令トルク: 0.527 Nm | 実測トルク: 0.521 Nm | 位置: 0.719 rad | 速度: 2.800 rad/s
経過時間: 2.20 秒 | 指令トルク: -0.862 Nm | 実測トルク: -0.917 Nm | 位置: 0.867 rad | 速度: -1.648 rad/s
経過時間: 2.30 秒 | 指令トルク: 1.549 Nm | 実測トルク: 1.111 Nm | 位置: 0.656 rad | 速度: -0.558 rad/s
経過時間: 2.40 秒 | 指令トルク: -0.877 Nm | 実測トルク: -0.669 Nm | 位置: 0.841 rad | 速度: 2.097 rad/s
